,Predicted,Actual,Error
0,174.83709528214695,204.0,-29.162904717853053
1,178.87708911501795,206.2,-27.322910884982036
2,182.91708294788805,199.3,-16.382917052111964
3,186.95707678075905,201.2,-14.242923219240936
4,190.99707061363006,199.6,-8.602929386369937
5,195.03706444650106,193.6,1.4370644465010685
6,199.07705827937207,206.0,-6.922941720627932
7,203.11705211224216,210.7,-7.582947887757825
8,207.15704594511317,203.5,3.6570459451131683
9,211.19703977798417,200.9,10.297039777984168
10,215.23703361085518,212.9,2.3370336108551726
11,219.27702744372527,214.9,4.377027443725268
12,223.31702127659628,214.5,8.817021276596279
13,227.35701510946728,218.4,8.957015109467278
14,231.3970089423383,228.7,2.6970089423383
15,235.43700277520838,233.0,2.4370027752083843
16,239.4769966080794,236.3,3.176996608079378
17,243.5169904409504,221.9,21.61699044095039
18,247.5569842738214,243.8,3.756984273821388
19,251.5969781066924,252.3,-0.7030218933076071
20,255.6369719395625,258.8,-3.1630280604375116
21,259.6769657724335,267.2,-7.523034227566484
22,263.7169596053045,280.1,-16.383040394695513
23,267.7569534381755,278.2,-10.443046561824474
24,271.7969472710456,278.3,-6.503052728954401
25,275.8369411039166,274.1,1.7369411039165925
26,279.8769349367876,268.9,10.976934936787643
27,283.9169287696586,244.5,39.416928769658625
28,287.95692260252963,276.5,11.45692260252963
29,291.9969164353997,279.1,12.896916435399703
30,296.03691026827073,280.2,15.836910268270742
31,300.07690410114174,284.5,15.576904101141736
32,304.11689793401274,288.3,15.81689793401273
33,308.15689176688284,286.4,21.75689176688286
34,312.19688559975384,239.9,72.29688559975384
35,316.23687943262485,282.6,33.63687943262482
36,320.27687326549585,294.6,25.67687326549583
37,324.31686709836595,293.8,30.516867098365935
38,328.35686093123695,333.5,-5.143139068763048
39,332.39685476410796,344.2,-11.803145235892032
40,336.43684859697896,347.7,-11.263151403021027
41,340.47684242984997,360.2,-19.723157570150022
42,344.51683626272006,379.1,-34.58316373727996
43,348.55683009559107,382.5,-33.94316990440893
44,352.5968239284621,400.2,-47.603176071537916
45,356.6368177613331,418.8,-62.163182238666934
